รหัสจังหวัด,จังหวัด,เขต,หมายเลข,พรรค,คะแนน
10.0,กรุงเทพมหานคร,4.0,32.0,ครูไทยเพื่อประชาชน,16.0
10.0,กรุงเทพมหานคร,4.0,33.0,ประชาชาติ,72.0
10.0,กรุงเทพมหานคร,4.0,34.0,สร้างอนาคตไทย,20.0
10.0,กรุงเทพมหานคร,4.0,35.0,รักชาติ,107.0
10.0,กรุงเทพมหานคร,4.0,36.0,ไทยพร้อม,43.0
10.0,กรุงเทพมหานคร,4.0,37.0,ภูมิใจไทย,16202.0
10.0,กรุงเทพมหานคร,4.0,38.0,พลังธรรมใหม่,46.0
10.0,กรุงเทพมหานคร,4.0,39.0,กรีน,67.0
10.0,กรุงเทพมหานคร,4.0,40.0,ไทยธรรม,4.0
10.0,กรุงเทพมหานคร,4.0,41.0,แผ่นดินธรรม,9.0
10.0,กรุงเทพมหานคร,4.0,42.0,กล้าธรรม,861.0
10.0,กรุงเทพมหานคร,4.0,43.0,พลังประชารัฐ,93.0
10.0,กรุงเทพมหานคร,4.0,44.0,โอกาสใหม่,47.0
10.0,กรุงเทพมหานคร,4.0,45.0,เป็นธรรม,40.0
10.0,กรุงเทพมหานคร,4.0,46.0,ประชาชน,36150.0
10.0,กรุงเทพมหานคร,4.0,47.0,ประชาไทย,72.0
10.0,กรุงเทพมหานคร,4.0,48.0,ไทยสร้างไทย,655.0
10.0,กรุงเทพมหานคร,4.0,49.0,ไทยก้าวใหม่,565.0
10.0,กรุงเทพมหานคร,4.0,50.0,ประชาอาสาชาติ,4.0
10.0,กรุงเทพมหานคร,4.0,51.0,พร้อม,21.0
10.0,กรุงเทพมหานคร,4.0,52.0,เครือข่ายชาวนาแห่งประเทศไทย,4.0
10.0,กรุงเทพมหานคร,4.0,53.0,ไทยพิทักษ์ธรรม,3.0
10.0,กรุงเทพมหานคร,4.0,54.0,ความหวังใหม่,12.0
10.0,กรุงเทพมหานคร,4.0,55.0,ไทยรวมไทย,7.0
10.0,กรุงเทพมหานคร,4.0,56.0,เพื่อบ้านเมือง,8.0
10.0,กรุงเทพมหานคร,4.0,57.0,พลังไทยรักชาติ,13.0
10.0,กรุงเทพมหานคร,5.0,1.0,ไทยทรัพย์ทวี,0.0
10.0,กรุงเทพมหานคร,5.0,2.0,เพื่อชาติไทย,19.0
10.0,กรุงเทพมหานคร,5.0,3.0,ใหม่,145.0
10.0,กรุงเทพมหานคร,5.0,4.0,มิติใหม่,56.0
10.0,กรุงเทพมหานคร,5.0,5.0,รวมใจไทย,210.0
10.0,กรุงเทพมหานคร,5.0,6.0,รวมไทยสร้างชาติ,102.0
10.0,กรุงเทพมหานคร,5.0,7.0,พลวัต,2239.0
10.0,กรุงเทพมหานคร,5.0,8.0,ประชาธิปไตยใหม่,108.0
10.0,กรุงเทพมหานคร,5.0,9.0,เพื่อไทย,192.0
10.0,กรุงเทพมหานคร,5.0,10.0,ทางเลือกใหม่,7684.0
10.0,กรุงเทพมหานคร,5.0,11.0,เศรษฐกิจ,310.0
10.0,กรุงเทพมหานคร,5.0,12.0,เสรีรวมไทย,1307.0
10.0,กรุงเทพมหานคร,5.0,13.0,รวมพลังประชาชาติ,334.0
10.0,กรุงเทพมหานคร,5.0,14.0,ท้องที่ไทย,376.0
10.0,กรุงเทพมหานคร,5.0,15.0,อนาคตไทย,14.0
10.0,กรุงเทพมหานคร,5.0,16.0,พลังเพื่อไทย,28.0
10.0,กรุงเทพมหานคร,5.0,17.0,ไทยชนะ,80.0
10.0,กรุงเทพมหานคร,5.0,18.0,พลังสังคมใหม่,33.0
10.0,กรุงเทพมหานคร,5.0,19.0,สังคมประชาธิปไตย,2.0
10.0,กรุงเทพมหานคร,5.0,20.0,ฟิวชั่น,19.0
10.0,กรุงเทพมหานคร,5.0,21.0,ไทยรวมพลัง,15.0
10.0,กรุงเทพมหานคร,5.0,22.0,ก้าวอิสระ,32.0
10.0,กรุงเทพมหานคร,5.0,23.0,ปวงชนไทย,10.0
10.0,กรุงเทพมหานคร,5.0,24.0,วิชั่นใหม่,54.0
10.0,กรุงเทพมหานคร,5.0,25.0,เพื่อชีวิตใหม่,15.0
10.0,กรุงเทพมหานคร,5.0,26.0,คลองไทย,29.0
10.0,กรุงเทพมหานคร,5.0,27.0,ประชาธิปัตย์,76.0
10.0,กรุงเทพมหานคร,5.0,28.0,ไทยก้าวหน้า,9790.0
10.0,กรุงเทพมหานคร,5.0,29.0,ไทยภักดี,70.0
10.0,กรุงเทพมหานคร,5.0,30.0,แรงงานสร้างชาติ,1554.0
10.0,กรุงเทพมหานคร,5.0,31.0,ประชากรไทย,13.0
10.0,กรุงเทพมหานคร,5.0,32.0,ครูไทยเพื่อประชาชน,39.0
10.0,กรุงเทพมหานคร,5.0,33.0,ประชาชาติ,14.0
10.0,กรุงเทพมหานคร,5.0,34.0,สร้างอนาคตไทย,125.0
10.0,กรุงเทพมหานคร,5.0,35.0,รักชาติ,35.0
10.0,กรุงเทพมหานคร,5.0,36.0,ไทยพร้อม,155.0
10.0,กรุงเทพมหานคร,5.0,37.0,ภูมิใจไทย,53.0
10.0,กรุงเทพมหานคร,5.0,38.0,พลังธรรมใหม่,19329.0
10.0,กรุงเทพมหานคร,5.0,39.0,กรีน,36.0
10.0,กรุงเทพมหานคร,5.0,40.0,ไทยธรรม,64.0
10.0,กรุงเทพมหานคร,5.0,41.0,แผ่นดินธรรม,10.0
10.0,กรุงเทพมหานคร,5.0,42.0,กล้าธรรม,6.0
10.0,กรุงเทพมหานคร,5.0,43.0,พลังประชารัฐ,161.0
10.0,กรุงเทพมหานคร,5.0,44.0,โอกาสใหม่,97.0
10.0,กรุงเทพมหานคร,5.0,45.0,เป็นธรรม,91.0
10.0,กรุงเทพมหานคร,5.0,46.0,ประชาชน,43.0
10.0,กรุงเทพมหานคร,5.0,47.0,ประชาไทย,46080.0
10.0,กรุงเทพมหานคร,5.0,48.0,ไทยสร้างไทย,83.0
10.0,กรุงเทพมหานคร,5.0,49.0,ไทยก้าวใหม่,795.0
10.0,กรุงเทพมหานคร,5.0,50.0,ประชาอาสาชาติ,682.0
10.0,กรุงเทพมหานคร,5.0,51.0,พร้อม,5.0
10.0,กรุงเทพมหานคร,5.0,52.0,เครือข่ายชาวนาแห่งประเทศไทย,16.0
10.0,กรุงเทพมหานคร,5.0,53.0,ไทยพิทักษ์ธรรม,7.0
10.0,กรุงเทพมหานคร,5.0,54.0,ความหวังใหม่,5.0
10.0,กรุงเทพมหานคร,5.0,55.0,ไทยรวมไทย,9.0
10.0,กรุงเทพมหานคร,5.0,56.0,เพื่อบ้านเมือง,5.0
10.0,กรุงเทพมหานคร,5.0,57.0,พลังไทยรักชาติ,12.0
10.0,กรุงเทพมหานคร,6.0,1.0,ไทยทรัพย์ทวี,40.0
10.0,กรุงเทพมหานคร,6.0,2.0,เพื่อชาติไทย,141.0
10.0,กรุงเทพมหานคร,6.0,3.0,ใหม่,76.0
10.0,กรุงเทพมหานคร,6.0,4.0,มิติใหม่,122.0
10.0,กรุงเทพมหานคร,6.0,5.0,รวมใจไทย,213.0
10.0,กรุงเทพมหานคร,6.0,6.0,รวมไทยสร้างชาติ,2942.0
10.0,กรุงเทพมหานคร,6.0,7.0,พลวัต,256.0
10.0,กรุงเทพมหานคร,6.0,8.0,ประชาธิปไตยใหม่,259.0
10.0,กรุงเทพมหานคร,6.0,9.0,เพื่อไทย,8024.0
10.0,กรุงเทพมหานคร,6.0,10.0,ทางเลือกใหม่,401.0
10.0,กรุงเทพมหานคร,6.0,11.0,เศรษฐกิจ,2620.0
10.0,กรุงเทพมหานคร,6.0,12.0,เสรีรวมไทย,332.0
10.0,กรุงเทพมหานคร,6.0,13.0,รวมพลังประชาชาติ,293.0
10.0,กรุงเทพมหานคร,6.0,14.0,ท้องที่ไทย,51.0
10.0,กรุงเทพมหานคร,6.0,15.0,อนาคตไทย,50.0
10.0,กรุงเทพมหานคร,6.0,16.0,พลังเพื่อไทย,55.0
10.0,กรุงเทพมหานคร,6.0,17.0,ไทยชนะ,48.0
10.0,กรุงเทพมหานคร,6.0,18.0,พลังสังคมใหม่,15.0
10.0,กรุงเทพมหานคร,6.0,19.0,สังคมประชาธิปไตย,23.0
10.0,กรุงเทพมหานคร,6.0,20.0,ฟิวชั่น,14.0
10.0,กรุงเทพมหานคร,6.0,21.0,ไทยรวมพลัง,21.0
10.0,กรุงเทพมหานคร,6.0,22.0,ก้าวอิสระ,20.0
10.0,กรุงเทพมหานคร,6.0,23.0,ปวงชนไทย,45.0
10.0,กรุงเทพมหานคร,6.0,24.0,วิชั่นใหม่,16.0
10.0,กรุงเทพมหานคร,6.0,25.0,เพื่อชีวิตใหม่,16.0
10.0,กรุงเทพมหานคร,6.0,26.0,คลองไทย,81.0
10.0,กรุงเทพมหานคร,6.0,27.0,ประชาธิปัตย์,10980.0
10.0,กรุงเทพมหานคร,6.0,28.0,ไทยก้าวหน้า,81.0
10.0,กรุงเทพมหานคร,6.0,29.0,ไทยภักดี,1924.0
10.0,กรุงเทพมหานคร,6.0,30.0,แรงงานสร้างชาติ,25.0
10.0,กรุงเทพมหานคร,6.0,31.0,ประชากรไทย,41.0
10.0,กรุงเทพมหานคร,6.0,32.0,ครูไทยเพื่อประชาชน,17.0
10.0,กรุงเทพมหานคร,6.0,33.0,ประชาชาติ,57.0
10.0,กรุงเทพมหานคร,6.0,34.0,สร้างอนาคตไทย,24.0
10.0,กรุงเทพมหานคร,6.0,35.0,รักชาติ,112.0
10.0,กรุงเทพมหานคร,6.0,36.0,ไทยพร้อม,212.0
10.0,กรุงเทพมหานคร,6.0,37.0,ภูมิใจไทย,17561.0
10.0,กรุงเทพมหานคร,6.0,38.0,พลังธรรมใหม่,145.0
10.0,กรุงเทพมหานคร,6.0,39.0,กรีน,91.0
10.0,กรุงเทพมหานคร,6.0,40.0,ไทยธรรม,23.0
10.0,กรุงเทพมหานคร,6.0,41.0,แผ่นดินธรรม,16.0
10.0,กรุงเทพมหานคร,6.0,42.0,กล้าธรรม,211.0
10.0,กรุงเทพมหานคร,6.0,43.0,พลังประชารัฐ,110.0
10.0,กรุงเทพมหานคร,6.0,44.0,โอกาสใหม่,1950.0
10.0,กรุงเทพมหานคร,6.0,45.0,เป็นธรรม,45.0
10.0,กรุงเทพมหานคร,6.0,46.0,ประชาชน,44984.0
10.0,กรุงเทพมหานคร,6.0,47.0,ประชาไทย,148.0
10.0,กรุงเทพมหานคร,6.0,48.0,ไทยสร้างไทย,758.0
10.0,กรุงเทพมหานคร,6.0,49.0,ไทยก้าวใหม่,715.0
10.0,กรุงเทพมหานคร,6.0,50.0,ประชาอาสาชาติ,2.0
10.0,กรุงเทพมหานคร,6.0,51.0,พร้อม,22.0
10.0,กรุงเทพมหานคร,6.0,52.0,เครือข่ายชาวนาแห่งประเทศไทย,7.0
10.0,กรุงเทพมหานคร,6.0,53.0,ไทยพิทักษ์ธรรม,7.0
10.0,กรุงเทพมหานคร,6.0,54.0,ความหวังใหม่,24.0
10.0,กรุงเทพมหานคร,6.0,55.0,ไทยรวมไทย,6.0
10.0,กรุงเทพมหานคร,6.0,56.0,เพื่อบ้านเมือง,13.0
10.0,กรุงเทพมหานคร,6.0,57.0,พลังไทยรักชาติ,14.0
10.0,Bangkok,7.0,1.0,ไทยทรัพย์ทวี,79.0
