รหัสจังหวัด,จังหวัด,เขต,ผู้ชนะ,พรรค,คะแนน,คะแนนดี,ผู้มีสิทธิ,มาใช้สิทธิ
34,อุบลราชธานี,10,นายสมศักดิ์ บุญประชม,ไทรวมพลัง,66909,85556,141083.0,93234
34,อุบลราชธานี,11,นางสาวตวงทิพย์ จินตะเวช,ภูมิใจไทย,58379,80032,135277.0,85958
35,ยโสธร,1,นางสุภาพร สลับศรี,ภูมิใจไทย,49334,100743,144704.0,105736
35,ยโสธร,2,นายวรายุทธ จงอักษร,ภูมิใจไทย,51233,90902,141191.0,94115
35,ยโสธร,3,นายธนพัฒน์ ศรีชนะ,ภูมิใจไทย,44970,93914,146753.0,99570
36,ชัยภูมิ,1,นายโอซิษฐ์ เกียรติก้องชูชัย,เพื่อไทย,40748,81673,129541.0,88777
36,ชัยภูมิ,2,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,54996,79326,133561.0,87136
36,ชัยภูมิ,3,นายสัมฤทธิ์ แทนทรัพย์,ภูมิใจไทย,48116,75289,127154.0,80751
36,ชัยภูมิ,4,นางสาวสุชาดา ซาง แทนทรัพย์,ภูมิใจไทย,36907,72809,121184.0,76539
36,ชัยภูมิ,5,นายศิวะ พงศ์ธีระดุลย์,เพื่อไทย,29851,85450,132089.0,89483
36,ชัยภูมิ,6,นายเชวงศักดิ์ เร่งไพบูลย์วงษ์,ภูมิใจไทย,50655,83346,134526.0,89261
36,ชัยภูมิ,7,นายอัครแสนคีรี โล่ห์วีระ,กล้าธรรม,40833,81542,126889.0,84732
37,อำนาจเจริญ,1,นางสุขสมรวย วันทนียกุล,ภูมิใจไทย,44199,91024,145524.0,97677
37,อำนาจเจริญ,2,นางญาญีนาถ เข็มนาค,ภูมิใจไทย,43016,93862,157168.0,103473
38,บึงกาฬ,1,นายสยาม เพ็งทอง,ภูมิใจไทย,37182,69624,104720.0,74245
38,บึงกาฬ,2,นายสุริยา แป้นสุขา,ภูมิใจไทย,26482,72072,109327.0,75005
38,บึงกาฬ,3,นายวิโรจน์ สาระวงศ์,ภูมิใจไทย,34041,70033,118401.0,76221
39,หนองบัวลำภู,1,นายชยานันท์ เกตุเมฆ,กล้าธรรม,31594,86812,139258.0,91459
39,หนองบัวลำภู,2,นายรุ่งเพชร ศรีกาญจนา,เพื่อไทย,36663,79482,135971.0,83652
39,หนองบัวลำภู,3,นายพรณรงค์ นิลนะมะ,กล้าธรรม,26322,77865,133308.0,82630
40,ขอนแก่น,1,นายวีรนันท์ ฮวดศรี,ประชาชน,35303,83007,128250.0,91147
40,ขอนแก่น,2,นายอิทธิพล ชลธราศิริ,ประชาชน,41012,96299,138811.0,105501
40,ขอนแก่น,3,นายเอกชัย สืบสารคาม,กล้าธรรม,30645,84748,132197.0,90629
40,ขอนแก่น,4,นายรุ่งโรจน์ เย็นสบาย,เพื่อไทย,40255,90702,130877.0,95728
40,ขอนแก่น,5,นายปราชญา หงอกชัย,กล้าธรรม,36120,81109,131801.0,85145
40,ขอนแก่น,6,นายวิศรุต ปู่เพิ่ง,ภูมิใจไทย,43246,79916,129906.0,86154
40,ขอนแก่น,7,นายสุรพจน์ เตาะเจริญสุข,เพื่อไทย,32796,83207,132364.0,90247
40,ขอนแก่น,8,นายธนิก มาสีพิทักษ์,กล้าธรรม,33926,89683,139634.0,96586
40,ขอนแก่น,9,นายณัฐพล กลุ่มเหรียญทอง,เพื่อไทย,42803,81101,127326.0,85016
